__pk_HelpTag_ID,Description,Name,Text
"2290831","","(block) Outputs Stream Definitions [SE]","<(block) Outputs Stream Definitions [SE]>"
"2290832","","(block) Participants [SE]","<(block) Participants [SE]>"
"2290833","","(block) Platform [SE]","<(block) Platform [SE]>"
"2290834","","Platforms","Associated platforms for current selection"
"2290835","","(block) Platforms Not Deployed [SE]","<(block) Platforms Not Deployed [SE]>"
"2290836","","Policies","Access permission elements for secure management"
"2290837","","(block) Popular Resources [SE]","list of recently viewed resources from <any?> data product  in currently selected org"
"2290838","","(block) Power [SE]","need attribute: power_status_roll_up displays rollup values over time need rollup inputs, algorithm, and attributes"
"2290839","","(block) Power Status Details [SE]","need list of power sources"
"2290840","","(block) Power Status Overview [SE]","need attribute: power_status_roll_up displays rollup values over time need rollup inputs, algorithm, and attributes"
"2290841","","(block) Preferences [SE]","<(block) Preferences [SE]>"
"2290842","","Project Information","Acknowledgments and other project details specific to selection"
"2290843","","(block) Recent Command Events [SE]","<(block) Recent Command Events [SE]>"
"2290844","","Recent Events","List of events for associated resource"
"2290845","","(block) Recent Images [SE]","list of recently created/updated images attached to <any?> data product  in currently selected org"
"2290846","","(block) Related Resources Map [SE]","represent all related resources as a network graph"
"2290847","","(block) Related Resources Network [SE]","represent all related resources as a network graph"
"2290848","","(block) Related Resources Provenance [SE]","represent all related resources as a provenance graph"
"2290849","","Requests - Open","Open/active access permission requests"
"2290850","","Open Requests","Active access permission requests"
"2290851","","(block) Resources [SE]","<(block) Resources [SE]>"
"2290852","","Roles for Group","Roles available within the selected resource group"
"2290853","","(block) Roles (UserInfo) [SE]","<(block) Roles (UserInfo) [SE]>"
"2290854","","(block) Search Criteria [SE]","<(block) Search Criteria [SE]>"
"2290855","","(block) Sensors [SE]","<(block) Sensors [SE]>"
"2290856","","(block) Settings [SE]","<(block) Settings [SE]>"
"2290857","","(block) Sites [SE]","<(block) Sites [SE]>"
"2290858","","(block) Specifications [SE]","<(block) Specifications [SE]>"
"2290859","","(block) Specifications? [SE]","<(block) Specifications? [SE]>"
"2290860","","(block) Statistics [SE]","<(block) Statistics [SE]>"
"2290861","","(block) Status Bar Text [SE]","delete?"
"2290862","","(block) Status Overview [SE]","<(block) Status Overview [SE]>"
"2290863","","(block) Subscriptions [SE]","<(block) Subscriptions [SE]>"
"2290864","","(block) subsites [SE]","<(block) subsites [SE]>"
"2290865","","(block) Tests [SE]","<(block) Tests [SE]>"
"2290866","","(block) Title Bar [SE]","<(block) Title Bar [SE]>"
"2290867","","(block) Unusual Events [SE]","list of recent, unusual events from <any?> data product  in currently selected org"
"2290868","","Usage Statistics","Numbers of users subscribing to resource"
"2290869","","Variables Information","Name, units, data type for variables"
"2290870","","(block) Variables Values [SE]","<(block) Variables Values [SE]>"
"2290871","","(block) Versions [SE]","<(block) Versions [SE]>"
"2290872","","(callout) Callout [SE]","<(callout) Callout [SE]>"
"2290873","","(chart) Data [SE]","all values for each variable over time in chart format"
"2290874","","(checkbox) Data Displayed [SE]","Lists variables for collective set (list) of data  with selection checkboxes. Variables checked show in current location map."
"2290875","","Button","Button"
"2290876","","-Direct Command MB [SE]","<-Direct Command MB [SE]>"
"2290877","","(extent_temporal) Recency Slider [SE]","List times: 1, 2, 3, 5, 8, 12,18, 24, 48, 72 hours with selection slider"
"2290878","","Facepage [SE]","<Facepage [SE]>"
"2290879","","Administration","Administrative details associated with selection"
"2290880","","(group) Algorithm Description [SE]","<(group) Algorithm Description [SE]>"
"2290881","","Attachments","Attached files of various types associated with selection"
"2290882","","(group) Available Inputs [SE]","<(group) Available Inputs [SE]>"
"2290883","","(group) Available Inputs Status [SE]","<(group) Available Inputs Status [SE]>"
"2290884","","(group) Callout Data Producers [SE]","<(group) Callout Data Producers [SE]>"
"2290885","","(group) Callout Data Products [SE]","<(group) Callout Data Products [SE]>"
"2290886","","(group) Callout Deployments [SE]","<(group) Callout Deployments [SE]>"
"2290887","","(group) Callout Instruments [SE]","<(group) Callout Instruments [SE]>"
"2290888","","(group) Callout Platforms [SE]","<(group) Callout Platforms [SE]>"
"2290889","","(group) Callout Policies [SE]","<(group) Callout Policies [SE]>"
"2290890","","(group) Callout Sensors [SE]","<(group) Callout Sensors [SE]>"
"2290891","","(group) Callout Sites [SE]","<(group) Callout Sites [SE]>"
"2290892","","(group) Callout Top Matter [SE]","<(group) Callout Top Matter [SE]>"
"2290893","","(group) Collection [SE]","<(group) Collection [SE]>"
"2290894","","(group) Collection Status [SE]","<(group) Collection Status [SE]>"
"2290895","","(group) Command [SE]","<(group) Command [SE]>"
"2290896","","(group) Current Instances [SE]","<(group) Current Instances [SE]>"
"2290897","","(group) Current Instances Status [SE]","<(group) Current Instances Status [SE]>"
"2290898","","(group) Data [SE]","<(group) Data [SE]>"
"2290899","","(group) Data Info","<(group) Data Information [SE]>"
"2290900","","(group) Data Process Status Overview [SE]","<(group) Data Process Status Overview [SE]>"
"2290901","","(group) Data Processes [SE]","<(group) Data Processes [SE]>"
"2290902","","(group) Data Processes Status [SE]","<(group) Data Processes Status [SE]>"
"2290903","","Data Products","Available data products associated with the selected resource"
"2290904","","(group) Data Products Status [SE]","<(group) Data Products Status [SE]>"
"2290905","","(group) Data Products Status - Summary?? [SE]","<(group) Data Products Status - Summary?? [SE]>"
"2290906","","Deployments","Assignment of a physical device to a station for a period of time"
"2290907","","(group) Deployments Status [SE]","<(group) Deployments Status [SE]>"
"2290908","","(group) Details [SE]","<(group) Details [SE]>"
"2290909","","(group) Engineering Sensors [SE]","<(group) Engineering Sensors [SE]>"
"2290910","","(group) Engineering Sensors Status [SE]","<(group) Engineering Sensors Status [SE]>"
"2290911","","Information","Identifying information associated with selection"
"2290912","","(group) Inputs Status [SE]","<(group) Inputs Status [SE]>"
"2290913","","(group) Inputs Stream Definitions [SE]","<(group) Inputs Stream Definitions [SE]>"
"2290914","","(group) Instruments [SE]","<(group) Instruments [SE]>"
"2290915","","(group) Instruments Deployed Status [SE]","<(group) Instruments Deployed Status [SE]>"
"2290916","","(group) Instruments Not Deployed [SE]","<(group) Instruments Not Deployed [SE]>"
"2290917","","(group) Instruments Not Deployed Status [SE]","<(group) Instruments Not Deployed Status [SE]>"
"2290918","","Instruments","Associated instruments for current selection"
"2290919","","(group) Marine Equipment [SE]","<(group) Marine Equipment [SE]>"
"2290920","","(group) Asset Summary [SE]","<(group) Asset Summary [SE]>"
"2290921","","(group) Marine Equipment Profile Status [SE]","<(group) Marine Equipment Profile Status [SE]>"
"2290922","","(group) News [SE]","<(group) News [SE]>"
"2290923","","(group) Notification Settings [SE]","<(group) Notification Settings [SE]>"
"2290924","","(group) Other Information [SE]","<(group) Other Information [SE]>"
"2290925","","(group) Output Stream Definitions [SE]","<(group) Output Stream Definitions [SE]>"
"2290926","","(group) Outputs [SE]","<(group) Outputs [SE]>"
"2290927","","(group) Outputs Status [SE]","<(group) Outputs Status [SE]>"
"2290928","","Participants","Associated participants for current selection"
"2290929","","Participants","xxxxxxx"
"2290930","","(group) Platforms [SE]","<(group) Platforms [SE]>"
"2290931","","(group) Platforms Deployed Status [SE]","<(group) Platforms Deployed Status [SE]>"
"2290932","","(group) Platforms Not Deployed [SE]","<(group) Platforms Not Deployed [SE]>"
"2290933","","(group) Platforms Not Deployed Status [SE]","<(group) Platforms Not Deployed Status [SE]>"
"2290934","","(group) Platforms Org [SE]","<(group) Platforms Org [SE]>"
"2290935","","(group) Platforms Status [SE]","<(group) Platforms Status [SE]>"
"2290936","","(group) Policies [SE]","<(group) Policies [SE]>"
"2290937","","(group) Policies Status [SE]","<(group) Policies Status [SE]>"
"2290938","","(group) Real TIme Data [SE]","<(group) Real Time Data [SE]>"
"2290939","","(group) Recent Command Events [SE]","<(group) Recent Command Events [SE]>"
"2290940","","Recent Events","A list of recent events (log) for the selected resource"
"2290941","","(group) Recent Events Status [SE]","<(group) Recent Events Status [SE]>"
"2290942","","(group) Related Resources Map [SE]","<(group) Related Resources Map [SE]>"
"2290943","","(group) Related Resources Network Map [SE]","<(group) Related Resources Network Map [SE]>"
"2290944","","(group) Related Resources Provenance Map [SE]","<(group) Related Resources Provenance Map [SE]>"
"2290945","","Closed Requests","Closed/past access permission requests"
"2290946","","(group) Requests - Open [SE]","<(group) Requests - Open [SE]>"
"2290947","","Resources","Available and accessible resources related to selection"
"2290948","","Roles","Roles associated with the active account"
"2290949","","(group) Sensors [SE]","<(group) Sensors [SE]>"
"2290950","","(group) Sensors Status [SE]","<(group) Sensors Status [SE]>"
"2290951","","Settings","Parameters and fields for selected resource"
"2290952","","Sites","Contiguous geographic regions"
"2290953","","Misc","xxx"
"2290954","","Specifications","Facts and figures detailing the particulars of selected resource"
"2290955","","(group) Status Details [SE]","<(group) Status Details [SE]>"
"2290956","","(group) Status Overview [SE]","<(group) Status Overview [SE]>"
"2290957","","Subscriptions","List of event types per resource for notification"
"2290958","","(group) Title Bar [SE]","<(group) Title Bar [SE]>"
"2290959","","(group) Versions [SE]","<(group) Versions [SE]>"
"2290960","","(icon) aggregated_status [SE]","<(icon) aggregated_status [SE]>"
"2290961","","(icon) checkmark [SE]","<(icon) checkmark [SE]>"
"2290962","","(icon) delivery_config*** [SE]","<(icon) delivery_config*** [SE]>"
"2290963","","(image) Header - Communications Status [SE]","<(image) Header - Communications Status [SE]>"
"2290964","","(image) Header - Data Status [SE]","<(image) Header - Data Status [SE]>"
"2290965","","(image) Header - Location Status [SE]","<(image) Header - Location Status [SE]>"
"2290966","","(image) Header - Power Status [SE]","<(image) Header - Power Status [SE]>"
"2290967","","(list) Contact Information [SE]","<(list) Contact Information [SE]>"
"2290968","","(list) Contacts [SE]","<(list) Contacts [SE]>"
"2290969","","(list) Data Displayed [SE]","<(list) Data Displayed [SE]>"
"2290970","","(list) Data Products [SE]","<(list) Data Products [SE]>"
"2290971","","(list) Device Sites [SE]","<(list) Device Sites [SE]>"
"2290972","","(list) Event Tiles [SE]","<(list) Event Tiles [SE]>"
"2290973","","(list) Events Filter [SE]","one checkbox for each event type. all checked by default"
"2290974","","(list) Latest Readings [SE]","provides latest value for each attribute in main data product for instrument"
"2290975","","(list) My Alerts [SE]","<(list) My Alerts [SE]>"
"2290976","","(list) My Resources [SE]","<(list) My Resources [SE]>"
"2290977","","(list) Popular Resources [SE]","<(list) Popular Resources [SE]>"
"2290978","","(list) Recent Images [SE]","<(list) Recent Images [SE]>"
"2290979","","(list) Related Resources Representation Selector [SE]","explicit enumerated list of representations averrable. only those representations that are appropriate for the selected resource are active"
"2290980","","(list) Search Criteria [SE]","<(list) Search Criteria [SE]>"
"2290981","","(map_context) Context Map [SE]","<(map_context) Context Map [SE]>"
"2290982","","(map) Current Location [SE]","Map displays indicators (differentiated by color & shape) reflecting ??"
"2290983","","(map) Related Resources Map [SE]","<(map) Related Resources Map [SE]>"
"2290984","","-Menu Divider [SE]","<-Menu Divider [SE]>"
"2290985","","(radiobutton) Do not poll the resource [SE]","<(radiobutton) Do not poll the resource [SE]>"
"2290986","","(radiobutton) Map [SE]","when selected, appropriate representation type selectors are active"
"2290987","","(radiobutton) Network Graph [SE]","<(radiobutton) Network Graph [SE]>"
"2290988","","(radiobutton) Provenance Graph [SE]","<(radiobutton) Provenance Graph [SE]>"
"2290989","","(radiobutton) Resource is private and available to me only [SE]","<(radiobutton) Resource is private and available to me only [SE]>"
"2290990","","(table) Attachments [SE]","<(table) Attachments [SE]>"
"2290991","","(table) Callout Data Producers [SE]","<(table) Callout Data Producers [SE]>"
"2290992","","(table) Callout Data Products [SE]","list of data products for this observatory one data product per table line data process is the transform that created the data product on this line"
"2290993","","(table) Callout Deployments [SE]","<(table) Callout Deployments [SE]>"
"2290994","","(table) Callout Instruments [SE]","list of instruments attached to this platformdevice one instrument per line in the table"
"2290995","","(table) Callout Platforms [SE]","list of instruments attached to this platformdevice one instrument per line in the table"
"2290996","","(table) Callout Sensors [SE]","list of instruments attached to this platformdevice one instrument per line in the table"
"2290997","","(table) Callout Sites [SE]","list of instruments attached to this platformdevice one instrument per line in the table"
"2290998","","(table) Data [SE]","all values for each variable over time"
"2290999","","(table) Data Process Definition Outputs [SE]","list of all dataProducts and dataProducers that can be used as input to this data producer"
"2291000","","(table) Data Processes [SE]","<(table) Data Processes [SE]>"
"2291001","","(table) Data Product Status Overview [SE]","List of tests, one per line Column headers: Test Name, Num Data Products Failing"
"2291002","","(table) Data Products [SE]","Data products in the facility"
"2291003","","(table) Site Deployments [SE]","<(table) Site Deployments [SE]>"
"2291004","","(table) Events [SE]","<(table) Events [SE]>"
"2291005","","(table) Device Deployments [SE]","<(table) Device Deployments [SE]>"
"2291006","","(table) Instruments [SE]","list of instruments attached to this platformdevice one instrument per line in the table"
"2291007","","(table) Observatory Sites [SE]","Sites in the facility"
"2291008","","(table) Participants [SE]","<(table) Participants [SE]>"
"2291009","","(table) Platform Deployments [SE]","<(table) Platform Deployments [SE]>"
"2291010","","(table) Platforms [SE]","<(table) Platforms [SE]>"
"2291011","","(table) Policies [SE]","<(table) Policies [SE]>"
"2291012","","(table) QA/QC Tests [SE]","list of tests executed on this variable one per table row Column Headers: Status, Test, % Below Lower Limit, Lower Limit, % Above Upper Limit, Upper Limit, % Failed Total, Reference Table Row headers are names of tests"
"2291013","","(table) Recent Updates (Dashboard) [SE]","List of recently updated DataProducts One per table line Table headings: <indicator>, Updated, Name, Date, Description Row headers:  Data Product Names"
"2291014","","(table) Related Resources [SE]","<(table) Related Resources [SE]>"
"2291015","","(table) Requests - Closed [SE]","<(table) Requests - Closed [SE]>"
"2291016","","(table) Requests - Open [SE]","<(table) Requests - Open [SE]>"
"2291017","","(table) Roles [SE]","<(table) Roles [SE]>"
"2291018","","(table) Sensors [SE]","<(table) Sensors [SE]>"
"2291019","","(table) Stream Definitions [SE]","<(table) Stream Definitions [SE]>"
"2291020","","(table) Variables Information [SE]","table table describing the variables generically (not their values)list if variables in dataproduct - clicking on one brings up the other blocks in this group with the selected variables info"
"2291021","","(table) Variables Values [SE]","table with values"
"2291022","","(table) Versions [SE]","<(table) Versions [SE]>"
"2291023","","(text_static) Alternate Contact [SE]","<(text_static) Alternate Contact [SE]>"
"2291024","","(text_static) Choose a Command [SE]","<(text_static) Choose a Command [SE]>"
"2291025","","(text_static) Collection [SE]","<(text_static) Collection [SE]>"
"2291026","","(text_static) Data Contacts [SE]","<(text_static) Data Contacts [SE]>"
"2291027","","(text_static) Data Process Definition [SE]","<(text_static) Data Process Definition [SE]>"
"2291028","","(text_static) Data Product [SE]","<(text_static) Data Product [SE]>"
"2291029","","(text_static) Deployment [SE]","<(text_static) Deployment [SE]>"
"2291030","","(text_static) Details [SE]","<(text_static) Details [SE]>"
"2291031","","(text_static) Device [SE]","<(text_static) Device [SE]>"
"2291032","","(text_static) Device Model [SE]","<(text_static) Device Model [SE]>"
"2291033","","(text_static) External Dataset [SE]","<(text_static) External Dataset [SE]>"
"2291034","","(text_static) Information Resource [SE]","<(text_static) Information Resource [SE]>"
"2291035","","(text_static) Instrument [SE]","<(text_static) Instrument [SE]>"
"2291036","","(text_static) Manager [SE]","<(text_static) Manager [SE]>"
"2291037","","(text_static) Manufacturer [SE]","<(text_static) Manufacturer [SE]>"
"2291038","","(text_static) Facility [SE]","<(text_static) Facility [SE]>"
"2291040","","(text_static) Optional Email Settings [SE]","<(text_static) Optional Email Settings [SE]>"
"2291041","","(text_static) Owner [SE]","<(text_static) Owner [SE]>"
"2291042","","(text_static) PI [SE]","<(text_static) PI [SE]>"
"2291043","","(text_static) Platform [SE]","<(text_static) Platform [SE]>"
"2291044","","(text_static) Primary Contact [SE]","<(text_static) Primary Contact [SE]>"
"2291046","","(text_static) Resource [SE]","<(text_static) Resource [SE]>"
"2291047","","(text_static) Resource Availability Settings [SE]","<(text_static) Resource Availability Settings [SE]>"
"2291048","","(text_static) Resource Polling Settings [SE]","<(text_static) Resource Polling Settings [SE]>"
"2291049","","(text_static) Site [SE]","<(text_static) Site [SE]>"
"2291050","","(text_static) SMS [SE]","<(text_static) SMS [SE]>"
"2291051","","(text_static) Starting Page [SE]","<(text_static) Starting Page [SE]>"
"2291052","","(text_static) Station [SE]","<(text_static) Station [SE]>"
"2291053","","(text_static) Subscription Label [SE]","<(text_static) Subscription Label [SE]>"
"2291054","","(text_static) Taskable Resource [SE]","<(text_static) Taskable Resource [SE]>"
"2291055","","(text_static) User [SE]","<(text_static) User [SE]>"
"2291056","","(text_static) User Interface Themes [SE]","<(text_static) User Interface Themes [SE]>"
"2291057","","(tile) Data Product Tile [SE]","DataProduct tiles are used in user's dashboard"
"2291058","","(tile) Popular Resource [SE]","list of recently viewed resources from <any?> data product  in currently selected org"
"2291059","","(tile) Recent Image [SE]","list of recently created/updated images attached to <any?> data product  in currently selected org"
"2291060","","(view) Command [SE]","<(view) Command [SE]>"
"2291061","","(view) Dashboard [SE]","<(view) Dashboard [SE]>"
"2291062","","(view) Direct Command [SE]","<(view) Direct Command [SE]>"
"2291063","","(view) Related [SE]","<(view) Related [SE]>"
"2291064","","(view) Status [SE]","<(view) Status [SE]>"
"2291065","","(attribute_group) Advanced Search Input [SE]","<(attribute_group) Advanced Search Input [SE]>"
"2291068","","(table) Portals [SE]","<(table) Portals [SE]>"
"2291070","","(table) Connected Devices [SE]","<(table) Connected Devices [SE]>"
"2291071","","link_direction [PlatformSite]","<link_direction [PlatformSite]>"
"2291073","","(block) Portals [SE]","<(block) Portals [SE]>"
"2291074","","(group) Portals [SE]","<(group) Portals [SE]>"
"2291079","","(block) Connected Devices [SE]","<(block) Connected Devices[SE]>"
"2291080","","(group) Neighboring Nodes [SE]","<(group) Neighboring Nodes [SE]>"
"2291092","","port_agent_config [Resource Attribute]","<port_agent_config [Resource Attribute]>"
"2291093","","agent_process_id [Resource Attribute]","<agent_process_id [Resource Attribute]>"
"2291094","","startup_config [Resource Attribute]","<startup_config [Resource Attribute]>"
"2291095","","driver_config [Resource Attribute]","replace all the individual items about with driver_config and agent_config dict"
"2291096","","(block) Stations [SE]","<(block) Stations [SE]>"
"2291097","","(dropdown) search aggregated status [SE]","<(dropdown) search aggregated status [SE]>"
"2291098","","Stations","Locations of top level platforms or nodes"
"2291099","","Subsites","Smaller areas within larger contiguous geographic regions"
"2291100","","(table) Stations [SE]","<(table) Stations [SE]>"
"2291101","","Agent Definition","<agent definition>"
"2291102","","Agent instance","<agent instance>"
"2291103","","(text_static) Instrument Portal [SE]","<(text_static) Instrument Portal [SE]>"
"2291104","","(text_static) Platform Portal [SE]","<(text_static) Platform Portal [SE]>"
"2291106","","(block) Primary Platform [SE]","<(block) Primary Platform [SE]>"
"2291107","","(block) Primary Instrument [SE]","<(block) Primary Instrument [SE]>"
"2291108","","Postal Code","Postal or zip code"
"2291109","","Control Information","Information and settings related to control"
"2291110","","General Specifications","General specifications of the resource"
"2291111","","Dimensions","Physical dimensions of the device"
"2291112","","Connections","Parent, ownership and other primary relationships"
"2291113","","Data Product Type","Type of data product, e.g, salinity, temperature"
"2291114","","reference_designator [resource attribute]","Reference number for OOI network and asset specifications"
"2291115","","Alert Settings","Alert threshold settings"
"2291116","","Notification Settings","Settings for notifications"
"2291117","","Engineering Sensors (block)","Sensors for monitoring the instrumentation and equipment"
"2291118","","Display Settings [UserInfo] (block)","Display Settings"
"2291119","","Display Settings [UserInfo] (attribute_group_dynamic)","Display Settings Variables"
