Textbox8,tbToday
Subseries Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Series,Subseries,Subseries_Name,Attribute,AttributeValue
CTDMO,R,01,CTDMO Series R Sub 01,Global Spares,2
CTDMO,R,01,CTDMO Series R Sub 01,Instrument Configuration,SBE 37IM (3500 m pressure sensor) 9/16 in. wire rope guide
CTDMO,R,01,CTDMO Series R Sub 01,Link to the Specification,
CTDMO,R,01,CTDMO Series R Sub 01,Notes,
CTDMO,R,01,CTDMO Series R Sub 01,PrimaryScienceDiscipline,P
CTDMO,R,01,CTDMO Series R Sub 01,Produces Acoustic Interference,
CTDMO,R,01,CTDMO Series R Sub 01,Ready for 2013?,
CTDMO,R,01,CTDMO Series R Sub 01,RSN O&M Spares,
CTDMO,R,01,CTDMO Series R Sub 01,RSN Part Number,
CTDMO,R,01,CTDMO Series R Sub 01,Susceptible to Acoustic Interference,
CTDMO,R,01,CTDMO Series R Sub 01,"Vendor CLIN, SubCLIN or Model #","YD08 37IM, YD08 37IM-1x 9/16", YD08 37IM-3f"
CTDPF,A,01,CTDPF Series A Sub 01,2009 Baseline Price*,
CTDPF,A,01,CTDPF Series A Sub 01,2009 Deployed Instrument Count,30
CTDPF,A,01,CTDPF Series A Sub 01,Alternate Instrument Class Name,CTD Profiler
CTDPF,A,01,CTDPF Series A Sub 01,CE Spares,
CTDPF,A,01,CTDPF Series A Sub 01,CGSN MREFC Spares,
CTDPF,A,01,CTDPF Series A Sub 01,CGSN O&M Spares,
CTDPF,A,01,CTDPF Series A Sub 01,CGSN P/N,
CTDPF,A,01,CTDPF Series A Sub 01,ClassLongName,CTD_profiler
CTDPF,A,01,CTDPF Series A Sub 01,Comments,"Measures Conductivity, Temperature and Depth, model options include: shallow, 600m-rated plastic housing, profiling firmware (19plus V2), and 5P pump"
CTDPF,A,01,CTDPF Series A Sub 01,CP Spares,
CTDPF,A,01,CTDPF Series A Sub 01,Description,CTDs to be mounted on a profiler
CTDPF,A,01,CTDPF Series A Sub 01,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,A,01,CTDPF Series A Sub 01,Global Spares,
CTDPF,A,01,CTDPF Series A Sub 01,Instrument Configuration,"SBE 16plusV2 (19plus FW; 600 m housing; 350 m strain gauge; MCBH 6-pin connectors, 5P pump w/ MCBH)"
CTDPF,A,01,CTDPF Series A Sub 01,Link to the Specification,
CTDPF,A,01,CTDPF Series A Sub 01,Notes,
CTDPF,A,01,CTDPF Series A Sub 01,PrimaryScienceDiscipline,P
CTDPF,A,01,CTDPF Series A Sub 01,Produces Acoustic Interference,
CTDPF,A,01,CTDPF Series A Sub 01,Ready for 2013?,
CTDPF,A,01,CTDPF Series A Sub 01,RSN O&M Spares,2
CTDPF,A,01,CTDPF Series A Sub 01,RSN Part Number,4830-67627
CTDPF,A,01,CTDPF Series A Sub 01,Susceptible to Acoustic Interference,
CTDPF,A,01,CTDPF Series A Sub 01,"Vendor CLIN, SubCLIN or Model #","16plusV2, 16p-1a, 16p-2c, 16p-5, 16p-4h, 16p-8x short housing (no batt), 16p-8y profiling mode option"
CTDPF,B,01,CTDPF Series B Sub 01,2009 Baseline Price*,
CTDPF,B,01,CTDPF Series B Sub 01,2009 Deployed Instrument Count,30
CTDPF,B,01,CTDPF Series B Sub 01,Alternate Instrument Class Name,CTD Profiler
CTDPF,B,01,CTDPF Series B Sub 01,CE Spares,
CTDPF,B,01,CTDPF Series B Sub 01,CGSN MREFC Spares,
CTDPF,B,01,CTDPF Series B Sub 01,CGSN O&M Spares,
CTDPF,B,01,CTDPF Series B Sub 01,CGSN P/N,
CTDPF,B,01,CTDPF Series B Sub 01,ClassLongName,CTD_profiler
CTDPF,B,01,CTDPF Series B Sub 01,Comments,"Measures Conductivity, Temperature and Depth, model options include: deep, 7000m-rated titanium housing, profiling firmware (19plus V2), and 5T pump"
CTDPF,B,01,CTDPF Series B Sub 01,CP Spares,
CTDPF,B,01,CTDPF Series B Sub 01,Description,CTDs to be mounted on a profiler
CTDPF,B,01,CTDPF Series B Sub 01,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,B,01,CTDPF Series B Sub 01,Global Spares,
CTDPF,B,01,CTDPF Series B Sub 01,Instrument Configuration,"16plus V2 (7000m, with 19plus V2profiling firmware)"
CTDPF,B,01,CTDPF Series B Sub 01,Link to the Specification,
CTDPF,B,01,CTDPF Series B Sub 01,Notes,
CTDPF,B,01,CTDPF Series B Sub 01,PrimaryScienceDiscipline,P
CTDPF,B,01,CTDPF Series B Sub 01,Produces Acoustic Interference,
CTDPF,B,01,CTDPF Series B Sub 01,Ready for 2013?,
CTDPF,B,01,CTDPF Series B Sub 01,RSN O&M Spares,1
CTDPF,B,01,CTDPF Series B Sub 01,RSN Part Number,4830-67977
CTDPF,B,01,CTDPF Series B Sub 01,Susceptible to Acoustic Interference,
CTDPF,B,01,CTDPF Series B Sub 01,"Vendor CLIN, SubCLIN or Model #",
CTDPF,C,01,CTDPF Series C Sub 01,2009 Baseline Price*,
CTDPF,C,01,CTDPF Series C Sub 01,2009 Deployed Instrument Count,30
CTDPF,C,01,CTDPF Series C Sub 01,Alternate Instrument Class Name,CTD Profiler
CTDPF,C,01,CTDPF Series C Sub 01,CE Spares,
CTDPF,C,01,CTDPF Series C Sub 01,CGSN MREFC Spares,
CTDPF,C,01,CTDPF Series C Sub 01,CGSN O&M Spares,
CTDPF,C,01,CTDPF Series C Sub 01,CGSN P/N,
CTDPF,C,01,CTDPF Series C Sub 01,ClassLongName,CTD_profiler
CTDPF,C,01,CTDPF Series C Sub 01,Comments,
CTDPF,C,01,CTDPF Series C Sub 01,CP Spares,
CTDPF,C,01,CTDPF Series C Sub 01,Description,CTDs to be mounted on a profiler
CTDPF,C,01,CTDPF Series C Sub 01,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,C,01,CTDPF Series C Sub 01,Global Spares,
CTDPF,C,01,CTDPF Series C Sub 01,Instrument Configuration,
CTDPF,C,01,CTDPF Series C Sub 01,Link to the Specification,
CTDPF,C,01,CTDPF Series C Sub 01,Notes,
CTDPF,C,01,CTDPF Series C Sub 01,PrimaryScienceDiscipline,P
CTDPF,C,01,CTDPF Series C Sub 01,Produces Acoustic Interference,
CTDPF,C,01,CTDPF Series C Sub 01,Ready for 2013?,
CTDPF,C,01,CTDPF Series C Sub 01,RSN O&M Spares,
CTDPF,C,01,CTDPF Series C Sub 01,RSN Part Number,
CTDPF,C,01,CTDPF Series C Sub 01,Susceptible to Acoustic Interference,
CTDPF,C,01,CTDPF Series C Sub 01,"Vendor CLIN, SubCLIN or Model #",
CTDPF,J,01,CTDPF Series J Sub 01,2009 Baseline Price*,
CTDPF,J,01,CTDPF Series J Sub 01,2009 Deployed Instrument Count,30
CTDPF,J,01,CTDPF Series J Sub 01,Alternate Instrument Class Name,CTD Profiler
CTDPF,J,01,CTDPF Series J Sub 01,CE Spares,
CTDPF,J,01,CTDPF Series J Sub 01,CGSN MREFC Spares,
CTDPF,J,01,CTDPF Series J Sub 01,CGSN O&M Spares,
CTDPF,J,01,CTDPF Series J Sub 01,CGSN P/N,
CTDPF,J,01,CTDPF Series J Sub 01,ClassLongName,CTD_profiler
CTDPF,J,01,CTDPF Series J Sub 01,Comments,
CTDPF,J,01,CTDPF Series J Sub 01,CP Spares,
CTDPF,J,01,CTDPF Series J Sub 01,Description,CTDs to be mounted on a profiler
CTDPF,J,01,CTDPF Series J Sub 01,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,J,01,CTDPF Series J Sub 01,Global Spares,
CTDPF,J,01,CTDPF Series J Sub 01,Instrument Configuration,
CTDPF,J,01,CTDPF Series J Sub 01,Link to the Specification,
CTDPF,J,01,CTDPF Series J Sub 01,Notes,
CTDPF,J,01,CTDPF Series J Sub 01,PrimaryScienceDiscipline,P
CTDPF,J,01,CTDPF Series J Sub 01,Produces Acoustic Interference,
CTDPF,J,01,CTDPF Series J Sub 01,Ready for 2013?,
CTDPF,J,01,CTDPF Series J Sub 01,RSN O&M Spares,
CTDPF,J,01,CTDPF Series J Sub 01,RSN Part Number,
CTDPF,J,01,CTDPF Series J Sub 01,Susceptible to Acoustic Interference,
CTDPF,J,01,CTDPF Series J Sub 01,"Vendor CLIN, SubCLIN or Model #",
CTDPF,K,01,CTDPF Series K Sub 01,2009 Baseline Price*,
CTDPF,K,01,CTDPF Series K Sub 01,2009 Deployed Instrument Count,30
CTDPF,K,01,CTDPF Series K Sub 01,Alternate Instrument Class Name,CTD Profiler
CTDPF,K,01,CTDPF Series K Sub 01,CE Spares,
CTDPF,K,01,CTDPF Series K Sub 01,CGSN MREFC Spares,
CTDPF,K,01,CTDPF Series K Sub 01,CGSN O&M Spares,
CTDPF,K,01,CTDPF Series K Sub 01,CGSN P/N,1331-00001-00001
CTDPF,K,01,CTDPF Series K Sub 01,ClassLongName,CTD_profiler
CTDPF,K,01,CTDPF Series K Sub 01,Comments,McLane P/N: 200-1311
CTDPF,K,01,CTDPF Series K Sub 01,CP Spares,
CTDPF,K,01,CTDPF Series K Sub 01,Description,CTDs to be mounted on a profiler
CTDPF,K,01,CTDPF Series K Sub 01,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,K,01,CTDPF Series K Sub 01,Global Spares,
CTDPF,K,01,CTDPF Series K Sub 01,Instrument Configuration,SBE-52MP w/ SBE-43F Dissolved O2
CTDPF,K,01,CTDPF Series K Sub 01,Link to the Specification,
CTDPF,K,01,CTDPF Series K Sub 01,Notes,
CTDPF,K,01,CTDPF Series K Sub 01,PrimaryScienceDiscipline,P
CTDPF,K,01,CTDPF Series K Sub 01,Produces Acoustic Interference,
CTDPF,K,01,CTDPF Series K Sub 01,Ready for 2013?,
CTDPF,K,01,CTDPF Series K Sub 01,RSN O&M Spares,
CTDPF,K,01,CTDPF Series K Sub 01,RSN Part Number,
CTDPF,K,01,CTDPF Series K Sub 01,Susceptible to Acoustic Interference,
CTDPF,K,01,CTDPF Series K Sub 01,"Vendor CLIN, SubCLIN or Model #",
CTDPF,L,01,CTDPF Series L Sub 01,2009 Baseline Price*,
CTDPF,L,01,CTDPF Series L Sub 01,2009 Deployed Instrument Count,30
CTDPF,L,01,CTDPF Series L Sub 01,Alternate Instrument Class Name,CTD Profiler
CTDPF,L,01,CTDPF Series L Sub 01,CE Spares,
CTDPF,L,01,CTDPF Series L Sub 01,CGSN MREFC Spares,
CTDPF,L,01,CTDPF Series L Sub 01,CGSN O&M Spares,
CTDPF,L,01,CTDPF Series L Sub 01,CGSN P/N,1331-00001-00002
CTDPF,L,01,CTDPF Series L Sub 01,ClassLongName,CTD_profiler
CTDPF,L,01,CTDPF Series L Sub 01,Comments,McLane P/N: 200-1008
CTDPF,L,01,CTDPF Series L Sub 01,CP Spares,
CTDPF,L,01,CTDPF Series L Sub 01,Description,CTDs to be mounted on a profiler
CTDPF,L,01,CTDPF Series L Sub 01,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,L,01,CTDPF Series L Sub 01,Global Spares,
CTDPF,L,01,CTDPF Series L Sub 01,Instrument Configuration,SBE-52MP
CTDPF,L,01,CTDPF Series L Sub 01,Link to the Specification,
CTDPF,L,01,CTDPF Series L Sub 01,Notes,
CTDPF,L,01,CTDPF Series L Sub 01,PrimaryScienceDiscipline,P
CTDPF,L,01,CTDPF Series L Sub 01,Produces Acoustic Interference,
CTDPF,L,01,CTDPF Series L Sub 01,Ready for 2013?,
CTDPF,L,01,CTDPF Series L Sub 01,RSN O&M Spares,
CTDPF,L,01,CTDPF Series L Sub 01,RSN Part Number,
CTDPF,L,01,CTDPF Series L Sub 01,Susceptible to Acoustic Interference,
CTDPF,L,01,CTDPF Series L Sub 01,"Vendor CLIN, SubCLIN or Model #",
CTDPF,O,01,CTDPF Series O Subseries 01,2009 Baseline Price*,
CTDPF,O,01,CTDPF Series O Subseries 01,2009 Deployed Instrument Count,30
CTDPF,O,01,CTDPF Series O Subseries 01,Alternate Instrument Class Name,CTD Profiler
CTDPF,O,01,CTDPF Series O Subseries 01,CE Spares,
CTDPF,O,01,CTDPF Series O Subseries 01,CGSN MREFC Spares,
CTDPF,O,01,CTDPF Series O Subseries 01,CGSN O&M Spares,
CTDPF,O,01,CTDPF Series O Subseries 01,CGSN P/N,
CTDPF,O,01,CTDPF Series O Subseries 01,ClassLongName,CTD_profiler
CTDPF,O,01,CTDPF Series O Subseries 01,Comments,
CTDPF,O,01,CTDPF Series O Subseries 01,CP Spares,
CTDPF,O,01,CTDPF Series O Subseries 01,Description,CTDs to be mounted on a profiler
CTDPF,O,01,CTDPF Series O Subseries 01,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,O,01,CTDPF Series O Subseries 01,Global Spares,
CTDPF,O,01,CTDPF Series O Subseries 01,Instrument Configuration,
CTDPF,O,01,CTDPF Series O Subseries 01,Link to the Specification,
CTDPF,O,01,CTDPF Series O Subseries 01,Notes,
CTDPF,O,01,CTDPF Series O Subseries 01,PrimaryScienceDiscipline,P
CTDPF,O,01,CTDPF Series O Subseries 01,Produces Acoustic Interference,
CTDPF,O,01,CTDPF Series O Subseries 01,Ready for 2013?,
CTDPF,O,01,CTDPF Series O Subseries 01,RSN O&M Spares,
CTDPF,O,01,CTDPF Series O Subseries 01,RSN Part Number,
CTDPF,O,01,CTDPF Series O Subseries 01,Susceptible to Acoustic Interference,
CTDPF,O,01,CTDPF Series O Subseries 01,"Vendor CLIN, SubCLIN or Model #",
CTDPF,R,01,CTDPF Series R Sub 01,2009 Baseline Price*,
CTDPF,R,01,CTDPF Series R Sub 01,2009 Deployed Instrument Count,30
CTDPF,R,01,CTDPF Series R Sub 01,Alternate Instrument Class Name,CTD Profiler
CTDPF,R,01,CTDPF Series R Sub 01,CE Spares,
CTDPF,R,01,CTDPF Series R Sub 01,CGSN MREFC Spares,
CTDPF,R,01,CTDPF Series R Sub 01,CGSN O&M Spares,
CTDPF,R,01,CTDPF Series R Sub 01,CGSN P/N,
CTDPF,R,01,CTDPF Series R Sub 01,ClassLongName,CTD_profiler
CTDPF,R,01,CTDPF Series R Sub 01,Comments,SBE 52MP from Mclain for Profiler
CTDPF,R,01,CTDPF Series R Sub 01,CP Spares,
CTDPF,R,01,CTDPF Series R Sub 01,Description,CTDs to be mounted on a profiler
CTDPF,R,01,CTDPF Series R Sub 01,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,R,01,CTDPF Series R Sub 01,Global Spares,
CTDPF,R,01,CTDPF Series R Sub 01,Instrument Configuration,
CTDPF,R,01,CTDPF Series R Sub 01,Link to the Specification,
CTDPF,R,01,CTDPF Series R Sub 01,Notes,
CTDPF,R,01,CTDPF Series R Sub 01,PrimaryScienceDiscipline,P
CTDPF,R,01,CTDPF Series R Sub 01,Produces Acoustic Interference,
CTDPF,R,01,CTDPF Series R Sub 01,Ready for 2013?,
CTDPF,R,01,CTDPF Series R Sub 01,RSN O&M Spares,1
CTDPF,R,01,CTDPF Series R Sub 01,RSN Part Number,4830-67977
CTDPF,R,01,CTDPF Series R Sub 01,Susceptible to Acoustic Interference,
CTDPF,R,01,CTDPF Series R Sub 01,"Vendor CLIN, SubCLIN or Model #",
DOFST,A,01,DOFST Series A Sub 01,2009 Baseline Price*,
DOFST,A,01,DOFST Series A Sub 01,2009 Deployed Instrument Count,21
DOFST,A,01,DOFST Series A Sub 01,Alternate Instrument Class Name,Dissolved Oxygen Fast Response
DOFST,A,01,DOFST Series A Sub 01,CE Spares,
DOFST,A,01,DOFST Series A Sub 01,CGSN MREFC Spares,
DOFST,A,01,DOFST Series A Sub 01,CGSN O&M Spares,
DOFST,A,01,DOFST Series A Sub 01,CGSN P/N,
DOFST,A,01,DOFST Series A Sub 01,ClassLongName,oxygen_dissolved_fastresp
DOFST,A,01,DOFST Series A Sub 01,Comments,
DOFST,A,01,DOFST Series A Sub 01,CP Spares,
DOFST,A,01,DOFST Series A Sub 01,Description,Measures dissolved oxygen concentrations on shallow coastal profilers through rapid oxygen gradients
DOFST,A,01,DOFST Series A Sub 01,ECRs that changed the count,
DOFST,A,01,DOFST Series A Sub 01,Global Spares,
DOFST,A,01,DOFST Series A Sub 01,Instrument Configuration,SBE-43F attached to CTDPF
DOFST,A,01,DOFST Series A Sub 01,Link to the Specification,
DOFST,A,01,DOFST Series A Sub 01,Notes,
DOFST,A,01,DOFST Series A Sub 01,PrimaryScienceDiscipline,C
DOFST,A,01,DOFST Series A Sub 01,Produces Acoustic Interference,
DOFST,A,01,DOFST Series A Sub 01,Ready for 2013?,
DOFST,A,01,DOFST Series A Sub 01,RSN O&M Spares,1
DOFST,A,01,DOFST Series A Sub 01,RSN Part Number,4830-58694
DOFST,A,01,DOFST Series A Sub 01,Susceptible to Acoustic Interference,
DOFST,A,01,DOFST Series A Sub 01,"Vendor CLIN, SubCLIN or Model #",
DOFST,J,01,DOFST Series J Sub 01,2009 Baseline Price*,
DOFST,J,01,DOFST Series J Sub 01,2009 Deployed Instrument Count,21
DOFST,J,01,DOFST Series J Sub 01,Alternate Instrument Class Name,Dissolved Oxygen Fast Response
DOFST,J,01,DOFST Series J Sub 01,CE Spares,
DOFST,J,01,DOFST Series J Sub 01,CGSN MREFC Spares,
DOFST,J,01,DOFST Series J Sub 01,CGSN O&M Spares,
DOFST,J,01,DOFST Series J Sub 01,CGSN P/N,
DOFST,J,01,DOFST Series J Sub 01,ClassLongName,oxygen_dissolved_fastresp
DOFST,J,01,DOFST Series J Sub 01,Comments,
DOFST,J,01,DOFST Series J Sub 01,CP Spares,
DOFST,J,01,DOFST Series J Sub 01,Description,Measures dissolved oxygen concentrations on shallow coastal profilers through rapid oxygen gradients
DOFST,J,01,DOFST Series J Sub 01,ECRs that changed the count,
DOFST,J,01,DOFST Series J Sub 01,Global Spares,
DOFST,J,01,DOFST Series J Sub 01,Instrument Configuration,
DOFST,J,01,DOFST Series J Sub 01,Link to the Specification,
DOFST,J,01,DOFST Series J Sub 01,Notes,
DOFST,J,01,DOFST Series J Sub 01,PrimaryScienceDiscipline,C
DOFST,J,01,DOFST Series J Sub 01,Produces Acoustic Interference,
DOFST,J,01,DOFST Series J Sub 01,Ready for 2013?,
DOFST,J,01,DOFST Series J Sub 01,RSN O&M Spares,
DOFST,J,01,DOFST Series J Sub 01,RSN Part Number,
DOFST,J,01,DOFST Series J Sub 01,Susceptible to Acoustic Interference,
DOFST,J,01,DOFST Series J Sub 01,"Vendor CLIN, SubCLIN or Model #",
DOFST,K,01,DOFST Series K Sub 01,2009 Baseline Price*,
DOFST,K,01,DOFST Series K Sub 01,2009 Deployed Instrument Count,21
DOFST,K,01,DOFST Series K Sub 01,Alternate Instrument Class Name,Dissolved Oxygen Fast Response
DOFST,K,01,DOFST Series K Sub 01,CE Spares,
DOFST,K,01,DOFST Series K Sub 01,CGSN MREFC Spares,
DOFST,K,01,DOFST Series K Sub 01,CGSN O&M Spares,
DOFST,K,01,DOFST Series K Sub 01,CGSN P/N,1331-00002-00001
DOFST,K,01,DOFST Series K Sub 01,ClassLongName,oxygen_dissolved_fastresp
DOFST,K,01,DOFST Series K Sub 01,Comments,Purchased as a part of 1331-00001-00001
DOFST,K,01,DOFST Series K Sub 01,CP Spares,
DOFST,K,01,DOFST Series K Sub 01,Description,Measures dissolved oxygen concentrations on shallow coastal profilers through rapid oxygen gradients
DOFST,K,01,DOFST Series K Sub 01,ECRs that changed the count,
DOFST,K,01,DOFST Series K Sub 01,Global Spares,
DOFST,K,01,DOFST Series K Sub 01,Instrument Configuration,SBE-43F Dissolved O2 (part of CTD)
DOFST,K,01,DOFST Series K Sub 01,Link to the Specification,
DOFST,K,01,DOFST Series K Sub 01,Notes,
DOFST,K,01,DOFST Series K Sub 01,PrimaryScienceDiscipline,C
DOFST,K,01,DOFST Series K Sub 01,Produces Acoustic Interference,
DOFST,K,01,DOFST Series K Sub 01,Ready for 2013?,
DOFST,K,01,DOFST Series K Sub 01,RSN O&M Spares,
DOFST,K,01,DOFST Series K Sub 01,RSN Part Number,
DOFST,K,01,DOFST Series K Sub 01,Susceptible to Acoustic Interference,
DOFST,K,01,DOFST Series K Sub 01,"Vendor CLIN, SubCLIN or Model #",
DOSTA,A,01,DOSTA Series A Sub 01,2009 Baseline Price*,"$6,000.00"
DOSTA,A,01,DOSTA Series A Sub 01,2009 Deployed Instrument Count,61
DOSTA,A,01,DOSTA Series A Sub 01,Alternate Instrument Class Name,Dissolved Oxygen Stable Response
DOSTA,A,01,DOSTA Series A Sub 01,CE Spares,
DOSTA,A,01,DOSTA Series A Sub 01,CGSN MREFC Spares,
DOSTA,A,01,DOSTA Series A Sub 01,CGSN O&M Spares,
DOSTA,A,01,DOSTA Series A Sub 01,CGSN P/N,
DOSTA,A,01,DOSTA Series A Sub 01,ClassLongName,oxygen_dissolved_stable
DOSTA,A,01,DOSTA Series A Sub 01,Comments,(deep profiler)
DOSTA,A,01,DOSTA Series A Sub 01,CP Spares,
DOSTA,A,01,DOSTA Series A Sub 01,Description,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings"
DOSTA,A,01,DOSTA Series A Sub 01,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
DOSTA,A,01,DOSTA Series A Sub 01,Global Spares,
DOSTA,A,01,DOSTA Series A Sub 01,Instrument Configuration,
DOSTA,A,01,DOSTA Series A Sub 01,Link to the Specification,
DOSTA,A,01,DOSTA Series A Sub 01,Notes,
DOSTA,A,01,DOSTA Series A Sub 01,PrimaryScienceDiscipline,C
DOSTA,A,01,DOSTA Series A Sub 01,Produces Acoustic Interference,
DOSTA,A,01,DOSTA Series A Sub 01,Ready for 2013?,
DOSTA,A,01,DOSTA Series A Sub 01,RSN O&M Spares,0
DOSTA,A,01,DOSTA Series A Sub 01,RSN Part Number,
DOSTA,A,01,DOSTA Series A Sub 01,Susceptible to Acoustic Interference,
DOSTA,A,01,DOSTA Series A Sub 01,"Vendor CLIN, SubCLIN or Model #",
DOSTA,B,01,DOSTA Series B Sub 01,2009 Baseline Price*,"$6,000.00"
DOSTA,B,01,DOSTA Series B Sub 01,2009 Deployed Instrument Count,61
DOSTA,B,01,DOSTA Series B Sub 01,Alternate Instrument Class Name,Dissolved Oxygen Stable Response
DOSTA,B,01,DOSTA Series B Sub 01,CE Spares,
DOSTA,B,01,DOSTA Series B Sub 01,CGSN MREFC Spares,
DOSTA,B,01,DOSTA Series B Sub 01,CGSN O&M Spares,
DOSTA,B,01,DOSTA Series B Sub 01,CGSN P/N,
DOSTA,B,01,DOSTA Series B Sub 01,ClassLongName,oxygen_dissolved_stable
DOSTA,B,01,DOSTA Series B Sub 01,Comments,
DOSTA,B,01,DOSTA Series B Sub 01,CP Spares,
DOSTA,B,01,DOSTA Series B Sub 01,Description,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings"
DOSTA,B,01,DOSTA Series B Sub 01,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
DOSTA,B,01,DOSTA Series B Sub 01,Global Spares,
DOSTA,B,01,DOSTA Series B Sub 01,Instrument Configuration,
DOSTA,B,01,DOSTA Series B Sub 01,Link to the Specification,
DOSTA,B,01,DOSTA Series B Sub 01,Notes,
DOSTA,B,01,DOSTA Series B Sub 01,PrimaryScienceDiscipline,C
DOSTA,B,01,DOSTA Series B Sub 01,Produces Acoustic Interference,
DOSTA,B,01,DOSTA Series B Sub 01,Ready for 2013?,
DOSTA,B,01,DOSTA Series B Sub 01,RSN O&M Spares,2
DOSTA,B,01,DOSTA Series B Sub 01,RSN Part Number,4830-58320
DOSTA,B,01,DOSTA Series B Sub 01,Susceptible to Acoustic Interference,
DOSTA,B,01,DOSTA Series B Sub 01,"Vendor CLIN, SubCLIN or Model #",
DOSTA,C,01,DOSTA Series C Sub 01,2009 Baseline Price*,"$6,000.00"
DOSTA,C,01,DOSTA Series C Sub 01,2009 Deployed Instrument Count,61
DOSTA,C,01,DOSTA Series C Sub 01,Alternate Instrument Class Name,Dissolved Oxygen Stable Response
DOSTA,C,01,DOSTA Series C Sub 01,CE Spares,
DOSTA,C,01,DOSTA Series C Sub 01,CGSN MREFC Spares,
DOSTA,C,01,DOSTA Series C Sub 01,CGSN O&M Spares,
DOSTA,C,01,DOSTA Series C Sub 01,CGSN P/N,
DOSTA,C,01,DOSTA Series C Sub 01,ClassLongName,oxygen_dissolved_stable
DOSTA,C,01,DOSTA Series C Sub 01,Comments,
DOSTA,C,01,DOSTA Series C Sub 01,CP Spares,
DOSTA,C,01,DOSTA Series C Sub 01,Description,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings"
DOSTA,C,01,DOSTA Series C Sub 01,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
DOSTA,C,01,DOSTA Series C Sub 01,Global Spares,
DOSTA,C,01,DOSTA Series C Sub 01,Instrument Configuration,
DOSTA,C,01,DOSTA Series C Sub 01,Link to the Specification,
DOSTA,C,01,DOSTA Series C Sub 01,Notes,
DOSTA,C,01,DOSTA Series C Sub 01,PrimaryScienceDiscipline,C
DOSTA,C,01,DOSTA Series C Sub 01,Produces Acoustic Interference,
DOSTA,C,01,DOSTA Series C Sub 01,Ready for 2013?,
DOSTA,C,01,DOSTA Series C Sub 01,RSN O&M Spares,
DOSTA,C,01,DOSTA Series C Sub 01,RSN Part Number,
DOSTA,C,01,DOSTA Series C Sub 01,Susceptible to Acoustic Interference,
DOSTA,C,01,DOSTA Series C Sub 01,"Vendor CLIN, SubCLIN or Model #",
DOSTA,D,01,DOSTA Series D Sub 01,2009 Baseline Price*,"$6,000.00"
DOSTA,D,01,DOSTA Series D Sub 01,2009 Deployed Instrument Count,61
DOSTA,D,01,DOSTA Series D Sub 01,Alternate Instrument Class Name,Dissolved Oxygen Stable Response
DOSTA,D,01,DOSTA Series D Sub 01,CE Spares,3
DOSTA,D,01,DOSTA Series D Sub 01,CGSN MREFC Spares,3
DOSTA,D,01,DOSTA Series D Sub 01,CGSN O&M Spares,3
DOSTA,D,01,DOSTA Series D Sub 01,CGSN P/N,1336-00002-00004
DOSTA,D,01,DOSTA Series D Sub 01,ClassLongName,oxygen_dissolved_stable
DOSTA,D,01,DOSTA Series D Sub 01,Comments,4831 has Serial RS-232 and Analog Option for 4831 with Subcon connector
DOSTA,D,01,DOSTA Series D Sub 01,CP Spares,1
DOSTA,D,01,DOSTA Series D Sub 01,Description,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings"
DOSTA,D,01,DOSTA Series D Sub 01,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
DOSTA,D,01,DOSTA Series D Sub 01,Global Spares,2
DOSTA,D,01,DOSTA Series D Sub 01,Instrument Configuration,Aanderaa optode 4831
DOSTA,D,01,DOSTA Series D Sub 01,Link to the Specification,
DOSTA,D,01,DOSTA Series D Sub 01,Notes,
DOSTA,D,01,DOSTA Series D Sub 01,PrimaryScienceDiscipline,C
DOSTA,D,01,DOSTA Series D Sub 01,Produces Acoustic Interference,
DOSTA,D,01,DOSTA Series D Sub 01,Ready for 2013?,
DOSTA,D,01,DOSTA Series D Sub 01,RSN O&M Spares,
DOSTA,D,01,DOSTA Series D Sub 01,RSN Part Number,
DOSTA,D,01,DOSTA Series D Sub 01,Susceptible to Acoustic Interference,
DOSTA,D,01,DOSTA Series D Sub 01,"Vendor CLIN, SubCLIN or Model #",
DOSTA,J,01,DOSTA Series J Sub 01,2009 Baseline Price*,"$6,000.00"
DOSTA,J,01,DOSTA Series J Sub 01,2009 Deployed Instrument Count,61
