Textbox8,tbToday
Make/Model Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Manufacturer,Make_Model,Make_Model_Description,Attribute,Attribute_Value
Star Engineering,ASIMET,ASIMET,Vendor Website,
SubC,1Cam,1Cam,Calibration Shelf Life,
SubC,1Cam,1Cam,Connector,
SubC,1Cam,1Cam,Input Voltage Range,
SubC,1Cam,1Cam,Interface,
SubC,1Cam,1Cam,Lead Time,
SubC,1Cam,1Cam,Make/Model Website,
SubC,1Cam,1Cam,Output Description,
SubC,1Cam,1Cam,Vendor Website,
Sunburst,SAMI-pCO2,SAMI-pCO2,Calibration Shelf Life,Needs annual recalibration
Sunburst,SAMI-pCO2,SAMI-pCO2,Connector,
Sunburst,SAMI-pCO2,SAMI-pCO2,Input Voltage Range,
Sunburst,SAMI-pCO2,SAMI-pCO2,Interface,
Sunburst,SAMI-pCO2,SAMI-pCO2,Lead Time,7-9 weeks
Sunburst,SAMI-pCO2,SAMI-pCO2,Make/Model Website,
Sunburst,SAMI-pCO2,SAMI-pCO2,Output Description,
Sunburst,SAMI-pCO2,SAMI-pCO2,Vendor Website,
Sunburst,SAMI-pH,SAMI-pH,Calibration Shelf Life,Needs annual recalibration
Sunburst,SAMI-pH,SAMI-pH,Connector,
Sunburst,SAMI-pH,SAMI-pH,Input Voltage Range,
Sunburst,SAMI-pH,SAMI-pH,Interface,
Sunburst,SAMI-pH,SAMI-pH,Lead Time,7-9 weeks
Sunburst,SAMI-pH,SAMI-pH,Make/Model Website,
Sunburst,SAMI-pH,SAMI-pH,Output Description,
Sunburst,SAMI-pH,SAMI-pH,Vendor Website,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Calibration Shelf Life,"Needs compass calibration prior to deployment, but not by vendor"
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Connector,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Input Voltage Range,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Interface,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Lead Time,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Make/Model Website,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Output Description,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Vendor Website,
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Calibration Shelf Life,
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Connector,
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Input Voltage Range,20-50VDC
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Interface,"2 x RS-232 (First serial connection to beams 1-4, Second to beam 5)"
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Lead Time,
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Make/Model Website,
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Output Description,
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Vendor Website,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Calibration Shelf Life,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Connector,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Input Voltage Range,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Interface,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Lead Time,60 days (more with biofouling coating)
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Make/Model Website,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Output Description,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Vendor Website,
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Calibration Shelf Life,"Needs compass calibration prior to deployment, but not by vendor"
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Connector,
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Input Voltage Range,
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Interface,
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Lead Time,60 days (more with biofouling coating)
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Make/Model Website,
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Output Description,
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Vendor Website,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Calibration Shelf Life,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Connector,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Input Voltage Range,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Interface,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Lead Time,60 days (more with biofouling coating)
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Make/Model Website,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Output Description,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Vendor Website,
Teledyne RDI,Workhorse Navigator 600 kHz dual,Workhorse Navigator 600 kHz dual,Calibration Shelf Life,
Teledyne RDI,Workhorse Navigator 600 kHz dual,Workhorse Navigator 600 kHz dual,Connector,
Teledyne RDI,Workhorse Navigator 600 kHz dual,Workhorse Navigator 600 kHz dual,Input Voltage Range,
Teledyne RDI,Workhorse Navigator 600 kHz dual,Workhorse Navigator 600 kHz dual,Interface,
Teledyne RDI,Workhorse Navigator 600 kHz dual,Workhorse Navigator 600 kHz dual,Lead Time,
Teledyne RDI,Workhorse Navigator 600 kHz dual,Workhorse Navigator 600 kHz dual,Make/Model Website,
Teledyne RDI,Workhorse Navigator 600 kHz dual,Workhorse Navigator 600 kHz dual,Output Description,
Teledyne RDI,Workhorse Navigator 600 kHz dual,Workhorse Navigator 600 kHz dual,Vendor Website,
Teledyne RDI,Workhorse Quartermaster 150kHz,Workhorse Quartermaster 150kHz,Calibration Shelf Life,
Teledyne RDI,Workhorse Quartermaster 150kHz,Workhorse Quartermaster 150kHz,Connector,
Teledyne RDI,Workhorse Quartermaster 150kHz,Workhorse Quartermaster 150kHz,Input Voltage Range,20-50 VDC
Teledyne RDI,Workhorse Quartermaster 150kHz,Workhorse Quartermaster 150kHz,Interface,RS-232
Teledyne RDI,Workhorse Quartermaster 150kHz,Workhorse Quartermaster 150kHz,Lead Time,
Teledyne RDI,Workhorse Quartermaster 150kHz,Workhorse Quartermaster 150kHz,Make/Model Website,
Teledyne RDI,Workhorse Quartermaster 150kHz,Workhorse Quartermaster 150kHz,Output Description,
Teledyne RDI,Workhorse Quartermaster 150kHz,Workhorse Quartermaster 150kHz,Vendor Website,
Teledyne RDI,WorkHorse Sentinel 300khz,WorkHorse Sentinel 300khz,Calibration Shelf Life,
Teledyne RDI,WorkHorse Sentinel 300khz,WorkHorse Sentinel 300khz,Connector,
Teledyne RDI,WorkHorse Sentinel 300khz,WorkHorse Sentinel 300khz,Input Voltage Range,
Teledyne RDI,WorkHorse Sentinel 300khz,WorkHorse Sentinel 300khz,Interface,
Teledyne RDI,WorkHorse Sentinel 300khz,WorkHorse Sentinel 300khz,Lead Time,
Teledyne RDI,WorkHorse Sentinel 300khz,WorkHorse Sentinel 300khz,Make/Model Website,
Teledyne RDI,WorkHorse Sentinel 300khz,WorkHorse Sentinel 300khz,Output Description,
Teledyne RDI,WorkHorse Sentinel 300khz,WorkHorse Sentinel 300khz,Vendor Website,
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Calibration Shelf Life,"Needs compass calibration prior to deployment, but not by vendor"
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Connector,
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Input Voltage Range,
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Interface,
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Lead Time,60 days (more with biofouling coating)
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Make/Model Website,[WorkHorse Sentinel 600khz|http://www.rdinstruments.com/sen.aspx]
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Output Description,
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Vendor Website,
Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,Calibration Shelf Life,"Needs compass calibration prior to deployment, but not by vendor"
Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,Connector,
Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,Input Voltage Range,
Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,Interface,
Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,Lead Time,60 days (more with biofouling coating)
Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,Make/Model Website,
Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,Output Description,
Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,Vendor Website,
"TLR, Inc.",OsmoSampler,OsmoSampler,Calibration Shelf Life,
"TLR, Inc.",OsmoSampler,OsmoSampler,Connector,
"TLR, Inc.",OsmoSampler,OsmoSampler,Input Voltage Range,
"TLR, Inc.",OsmoSampler,OsmoSampler,Interface,
"TLR, Inc.",OsmoSampler,OsmoSampler,Lead Time,
"TLR, Inc.",OsmoSampler,OsmoSampler,Make/Model Website,
"TLR, Inc.",OsmoSampler,OsmoSampler,Output Description,
"TLR, Inc.",OsmoSampler,OsmoSampler,Vendor Website,
WET Labs,AC-S,AC-S,Calibration Shelf Life,**Issue here** - needs recalibration prior to deployment
WET Labs,AC-S,AC-S,Connector,
WET Labs,AC-S,AC-S,Input Voltage Range,
WET Labs,AC-S,AC-S,Interface,
WET Labs,AC-S,AC-S,Lead Time,
WET Labs,AC-S,AC-S,Make/Model Website,
WET Labs,AC-S,AC-S,Output Description,
WET Labs,AC-S,AC-S,Vendor Website,
WET Labs,AC-S Deep,AC-S Deep,Calibration Shelf Life,**Issue here** - needs recalibration prior to deployment
WET Labs,AC-S Deep,AC-S Deep,Connector,
WET Labs,AC-S Deep,AC-S Deep,Input Voltage Range,
WET Labs,AC-S Deep,AC-S Deep,Interface,
WET Labs,AC-S Deep,AC-S Deep,Lead Time,10-12 weeks
WET Labs,AC-S Deep,AC-S Deep,Make/Model Website,
WET Labs,AC-S Deep,AC-S Deep,Output Description,
WET Labs,AC-S Deep,AC-S Deep,Vendor Website,
WET Labs,ECO FLBB-SB,ECO FLBB-SB,Calibration Shelf Life,
WET Labs,ECO FLBB-SB,ECO FLBB-SB,Connector,
WET Labs,ECO FLBB-SB,ECO FLBB-SB,Input Voltage Range,
WET Labs,ECO FLBB-SB,ECO FLBB-SB,Interface,
WET Labs,ECO FLBB-SB,ECO FLBB-SB,Lead Time,
WET Labs,ECO FLBB-SB,ECO FLBB-SB,Make/Model Website,
WET Labs,ECO FLBB-SB,ECO FLBB-SB,Output Description,
WET Labs,ECO FLBB-SB,ECO FLBB-SB,Vendor Website,
WET Labs,ECO PAR,ECO PAR,Calibration Shelf Life,
WET Labs,ECO PAR,ECO PAR,Connector,
WET Labs,ECO PAR,ECO PAR,Input Voltage Range,
WET Labs,ECO PAR,ECO PAR,Interface,
WET Labs,ECO PAR,ECO PAR,Lead Time,
WET Labs,ECO PAR,ECO PAR,Make/Model Website,
WET Labs,ECO PAR,ECO PAR,Output Description,
WET Labs,ECO PAR,ECO PAR,Vendor Website,
WET Labs,ECO Puck FLBBCD-SLK,ECO Puck FLBBCD-SLK,Calibration Shelf Life,
WET Labs,ECO Puck FLBBCD-SLK,ECO Puck FLBBCD-SLK,Connector,
WET Labs,ECO Puck FLBBCD-SLK,ECO Puck FLBBCD-SLK,Input Voltage Range,
WET Labs,ECO Puck FLBBCD-SLK,ECO Puck FLBBCD-SLK,Interface,
WET Labs,ECO Puck FLBBCD-SLK,ECO Puck FLBBCD-SLK,Lead Time,
WET Labs,ECO Puck FLBBCD-SLK,ECO Puck FLBBCD-SLK,Make/Model Website,
WET Labs,ECO Puck FLBBCD-SLK,ECO Puck FLBBCD-SLK,Output Description,
WET Labs,ECO Puck FLBBCD-SLK,ECO Puck FLBBCD-SLK,Vendor Website,
WET Labs,ECO Puck FLBB-SLC,ECO Puck FLBB-SLC,Calibration Shelf Life,
WET Labs,ECO Puck FLBB-SLC,ECO Puck FLBB-SLC,Connector,
WET Labs,ECO Puck FLBB-SLC,ECO Puck FLBB-SLC,Input Voltage Range,
WET Labs,ECO Puck FLBB-SLC,ECO Puck FLBB-SLC,Interface,
WET Labs,ECO Puck FLBB-SLC,ECO Puck FLBB-SLC,Lead Time,
WET Labs,ECO Puck FLBB-SLC,ECO Puck FLBB-SLC,Make/Model Website,
WET Labs,ECO Puck FLBB-SLC,ECO Puck FLBB-SLC,Output Description,
WET Labs,ECO Puck FLBB-SLC,ECO Puck FLBB-SLC,Vendor Website,
WET Labs,ECO Triplet,"ECO Triplet  (700 nm backscatter, 370/640 nm CDOM, 470/695 Chl)",Calibration Shelf Life,
WET Labs,ECO Triplet,"ECO Triplet  (700 nm backscatter, 370/640 nm CDOM, 470/695 Chl)",Connector,
WET Labs,ECO Triplet,"ECO Triplet  (700 nm backscatter, 370/640 nm CDOM, 470/695 Chl)",Input Voltage Range,
WET Labs,ECO Triplet,"ECO Triplet  (700 nm backscatter, 370/640 nm CDOM, 470/695 Chl)",Interface,
WET Labs,ECO Triplet,"ECO Triplet  (700 nm backscatter, 370/640 nm CDOM, 470/695 Chl)",Lead Time,
WET Labs,ECO Triplet,"ECO Triplet  (700 nm backscatter, 370/640 nm CDOM, 470/695 Chl)",Make/Model Website,
WET Labs,ECO Triplet,"ECO Triplet  (700 nm backscatter, 370/640 nm CDOM, 470/695 Chl)",Output Description,
WET Labs,ECO Triplet,"ECO Triplet  (700 nm backscatter, 370/640 nm CDOM, 470/695 Chl)",Vendor Website,
WET Labs,ECO Triplet-w,ECO Triplet-w,Calibration Shelf Life,
WET Labs,ECO Triplet-w,ECO Triplet-w,Connector,
WET Labs,ECO Triplet-w,ECO Triplet-w,Input Voltage Range,
WET Labs,ECO Triplet-w,ECO Triplet-w,Interface,
WET Labs,ECO Triplet-w,ECO Triplet-w,Lead Time,6-8 weeks
WET Labs,ECO Triplet-w,ECO Triplet-w,Make/Model Website,
WET Labs,ECO Triplet-w,ECO Triplet-w,Output Description,
WET Labs,ECO Triplet-w,ECO Triplet-w,Vendor Website,
WET Labs,FLBBRTD,FLBBRTD,Calibration Shelf Life,
WET Labs,FLBBRTD,FLBBRTD,Connector,
WET Labs,FLBBRTD,FLBBRTD,Input Voltage Range,
WET Labs,FLBBRTD,FLBBRTD,Interface,
WET Labs,FLBBRTD,FLBBRTD,Lead Time,
WET Labs,FLBBRTD,FLBBRTD,Make/Model Website,
WET Labs,FLBBRTD,FLBBRTD,Output Description,
WET Labs,FLBBRTD,FLBBRTD,Vendor Website,
WET Labs,"FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)","FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)",Calibration Shelf Life,
WET Labs,"FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)","FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)",Connector,
WET Labs,"FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)","FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)",Input Voltage Range,
WET Labs,"FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)","FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)",Interface,
WET Labs,"FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)","FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)",Lead Time,
WET Labs,"FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)","FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)",Make/Model Website,
WET Labs,"FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)","FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)",Output Description,
WET Labs,"FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)","FLNTURTD (chlorophyll and backscatter), and FLCDRTD (CDOM)",Vendor Website,
WHOI,DCFS,DCFS,Calibration Shelf Life,
WHOI,DCFS,DCFS,Connector,
WHOI,DCFS,DCFS,Input Voltage Range,
WHOI,DCFS,DCFS,Interface,
WHOI,DCFS,DCFS,Lead Time,
WHOI,DCFS,DCFS,Make/Model Website,
WHOI,DCFS,DCFS,Output Description,
WHOI,DCFS,DCFS,Vendor Website,

